row_id	owner	source_file	source_symbol	device_scope	depends_on	source_status	source_relation	lock_or_order	failure_contract	runtime_status	silicon_status	external_repository	external_commit	external_artifact	external_row_id	completion_gate	mesa_effect	nonclaim
RS400_PTE_PERMISSION_AND_SNOOP_ENCODING	linux-radeon-gororoba	drivers/gpu/drm/radeon/rs400.c	rs400_gart_get_page_entry	CHIP_RS400;CHIP_RS480	CACHED_TTM_SNOOP_FLAG_PROPAGATION;RS400_ASIC_GART_CALLBACK_SELECTION	proven	READ maps to bit 3, WRITE maps to bit 2, and UNSNOOPED bit 0 is set only when RADEON_GART_PAGE_SNOOP is absent.	The encoder runs before each PTE shadow and table store.	The encoder returns a value and carries no runtime error channel.	not-run	unproved	steinmarder-r300	dfd54caf26cc94f157cd231e0741cc16887ec595	src/re/r300/corpora/rs482_k8_memory_path_frontier_v1/frontier.jsonl	PER_PTE_GART_SNOOP_UNKNOWN	Exact PTE bytes plus a payload oracle are required to close effective semantics.	Mesa can use the kernel mapping only after the target effect is measured.	Encoded bits do not prove global and per PTE precedence.
RS480_GLOBAL_REQUEST_SNOOP_DISABLE	linux-radeon-gororoba	drivers/gpu/drm/radeon/rs400.c	rs400_gart_enable	CHIP_RS400;CHIP_RS480	RS400_ASIC_GART_CALLBACK_SELECTION	proven	The sole RS480_AGP_MODE_CNTL write retains RS480_REQ_TYPE_SNOOP_DIS.	Global mode programming precedes GART enable and ready publication.	The source provides no alternate global snoop enabled path.	peer-observation	unproved	steinmarder-r300	dfd54caf26cc94f157cd231e0741cc16887ec595	src/re/r300/corpora/rs482_k8_memory_path_frontier_v1/frontier.jsonl	GLOBAL_GART_SNOOP_INVALID	The reported global enable negative remains external hardware authority and keeps mutation excluded.	Mesa must not request a global snoop enable experiment.	Linux source does not independently prove the external silicon result.
GART_BIND_PTE_MB_TLB_PUBLICATION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_bind	all internal Radeon GART devices	GART_BIND_RANGE_ADMISSION;RS400_PTE_PERMISSION_AND_SNOOP_ENCODING	proven	Bind stores page and PTE shadows, writes the mapped table when present, executes mb, then dispatches the ASIC TLB flush.	PTE stores precede mb and mb precedes the TLB callback.	A not ready or invalid range returns before the first store; the void TLB callback has no completion result.	not-run	unproved	NONE	NONE	NONE	NONE	Source order mutations fail and target completion stays open.	Mesa gains an address publication order, not a cache coherence promise.	mb and a dispatched flush do not prove payload publication or completed invalidation.
GART_UNBIND_RANGE_ADMISSION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_range_valid;radeon_gart_unbind	all internal Radeon GART devices	GTT_APERTURE_SIZE_DERIVATION	repaired	Unbind requires a nonzero page count, page aligned offset, and an interval contained in num_cpu_pages.	Range validation precedes every page and PTE array access.	Invalid input returns without changing either shadow or the hardware table.	not-run	unproved	NONE	NONE	NONE	NONE	Boundary mutations for zero, misaligned, overflowing, and out of aperture ranges are rejected.	Kernel teardown cannot clear outside the admitted aperture.	The void return still does not communicate a not ready disposition to TTM.
GART_UNBIND_SPARSE_CURSOR	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_unbind	all internal Radeon GART devices	GART_UNBIND_RANGE_ADMISSION	repaired	Each outer CPU page derives its GPU PTE cursor from the current page index, so a sparse hole cannot shift later dummy writes into an earlier slot.	Cursor derivation occurs on every outer iteration before the populated page branch.	A hole changes no PTE and cannot alter the next populated page index.	not-run	unproved	NONE	NONE	NONE	NONE	The sparse hole model and a stale cursor mutation classify correctly.	Sparse teardown preserves the logical page to PTE correspondence.	The repair does not prove a live TLB invalidation.
GART_UNBIND_PTE_MB_TLB_PUBLICATION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_unbind	all internal Radeon GART devices	GART_UNBIND_SPARSE_CURSOR	proven	Unbind replaces populated page and PTE shadows with the dummy entry, writes the table when present, executes mb, then dispatches the ASIC TLB flush.	Dummy PTE stores precede mb and mb precedes the TLB callback.	A not ready or invalid range returns before the first store; the void TLB callback has no completion result.	not-run	unproved	NONE	NONE	NONE	NONE	Source order and sparse correspondence mutations fail.	Mesa receives a software lifetime boundary after its reservation fences retire.	Source order does not prove that the GPU stopped using a stale translation.
KERNEL_BO_MAP_RESERVATION_WAIT	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_object.c	radeon_bo_kmap	all Radeon BOs	GART_SOURCE_BUILD_REACHABILITY	proven	Kernel mapping waits DMA_RESV_USAGE_KERNEL fences before returning an existing or new TTM map.	The reservation wait precedes every map lookup and ttm_bo_kmap call.	A negative wait result returns without creating a map.	not-run	unproved	NONE	NONE	NONE	NONE	The wait before map ordering remains source proven.	Kernel CPU access is execution ordered against prior reservation users.	Fence retirement does not invalidate or flush payload cache lines.
USER_MMAP_FAULT_RESERVATION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gem.c	radeon_gem_fault	all Radeon BOs except rejected userptr mmap	GART_SOURCE_BUILD_REACHABILITY	proven	A userspace fault takes the memory clock reader and reserves the BO before inspecting placement and resolving the TTM fault.	mclk_lock precedes the BO reservation; the reservation spans placement inspection and fault handling.	A parked VRAM fault returns SIGBUS; reservation and lock unwind on every branch.	not-run	unproved	NONE	NONE	NONE	NONE	The lock and placement order remains source proven.	CPU mappings stay distinct from GPU completion and cache visibility.	A successful page fault does not prove a later GPU read sees CPU writes.
GART_TABLE_READER_SNAPSHOT_BOUNDARY	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c	rs400_gart_page_table_show	CHIP_RS400;CHIP_RS480 observe dev profile	GART_TABLE_DMA_COHERENT_ALLOCATION_API	proven	The bounded reader serializes with rs400_gart_fini but not with ordinary bind or unbind writers.	The reader lock protects table lifetime; READ_ONCE protects scalar loads only.	The reader refuses a parked or absent table and never claims one generation consistent snapshot.	peer-observation	unproved	vostro1000-re	0e5141a454c9453382059eea5d0062e79451de13	systems/dell-vostro-1000/platform-maximal-decomposition-frontier.tsv	gart-page-table-readonly-provenance	A snapshot claim requires writer serialization or a generation and retry protocol.	Mesa cannot use the debug reader as synchronization.	A bounded table dump does not characterize unobserved PTEs or payload visibility.
GART_COMMON_TEARDOWN	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_fini	all internal Radeon GART devices	GART_UNBIND_PTE_MB_TLB_PUBLICATION	proven	Common finalization unbinds the full ready aperture, clears ready, frees both shadows, and releases the dummy page.	Full aperture unbind precedes shadow and dummy page release.	The path is idempotent for absent shadows but does not own the later RS400 hardware disable and table free.	not-run	unproved	NONE	NONE	NONE	NONE	The full aperture and sparse unbind model remain exact.	Mesa BO lifetime must end before device teardown.	Common teardown does not prove every TTM callback observed one hardware enabled state.
RS4XX_GART_TABLE_WB_RESTORE_ATTEMPT	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_table_ram_free	CONFIG_X86 and CHIP_RS400 or CHIP_RS480	RS4XX_GART_TABLE_UC_ALIAS_ATTEMPT;GART_COMMON_TEARDOWN	proven	After common finalization and RS400 hardware disable, the table release calls set_memory_wb before dma_free_coherent and discards the integer result.	Common finalization precedes hardware disable; hardware disable precedes the WB attempt and coherent allocation release.	The source records no failure observation and releases the allocation after any nonzero result.	not-run	unproved	NONE	NONE	NONE	NONE	A checked return or retained target page type is required before claiming restoration.	Mesa has no ownership of the page table alias teardown.	The call does not prove that the CPU alias returned to WB.
EFFECTIVE_PER_PTE_SNOOP_SEMANTICS	steinmarder-r300	drivers/gpu/drm/radeon/rs400.c	rs400_gart_get_page_entry	RS482 1002:5974	CACHED_TTM_SNOOP_FLAG_PROPAGATION;RS400_PTE_PERMISSION_AND_SNOOP_ENCODING;RS480_GLOBAL_REQUEST_SNOOP_DISABLE	open	The source requests a per PTE snoop state while retaining global request snoop disable, and source does not define their effective precedence.	A target trial must retain both raw controls with the same BO and completed submission.	No Linux source change may mark this row proven.	not-run	peer-open	steinmarder-r300	dfd54caf26cc94f157cd231e0741cc16887ec595	src/re/r300/corpora/rs482_k8_memory_path_frontier_v1/frontier.jsonl	PER_PTE_GART_SNOOP_UNKNOWN	An admitted exact target payload trial resolves one tested PTE and global state without generalizing.	Mesa fast paths stay blocked on the exact tested mapping state.	The encoded PTE and global register do not establish effective snooping.
CPU_GTT_GPU_PAYLOAD_PUBLICATION	steinmarder-r300	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_bind	RS482 1002:5974	GART_BIND_PTE_MB_TLB_PUBLICATION	open	Linux establishes the bound translation but contains no CPU payload publication or cache maintenance before GPU execution.	The CPU producer cache action precedes submission, and the observed completed fence precedes the GPU consumer digest while the same BO remains bound.	No Linux fence or mb result may close this row.	not-run	peer-open	steinmarder-r300	dfd54caf26cc94f157cd231e0741cc16887ec595	src/re/r300/corpora/rs482_k8_memory_path_frontier_v1/frontier.jsonl	CPU_GTT_GPU_PUBLICATION	An admitted exact target CPU write and GPU read trial retains raw PTE bytes and decoded bits, raw global snoop control, BO and cache mapping, module and target identity, command stream, an observed completed fence, maintenance on and off arms, and both digests; it closes exact state visibility only. Maintenance off failing while maintenance on passes supports maintenance-required visibility only for the exact retained state. Both arms passing supports only that no maintenance effect was observed in the tested trials. Both arms failing leaves visibility open.	CPU produced zero copy BO reuse stays blocked.	A directional visibility result does not prove snoop attribution or general cache coherence.
GPU_GTT_CPU_PAYLOAD_INVALIDATION	steinmarder-r300	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_bind	RS482 1002:5974	GART_BIND_PTE_MB_TLB_PUBLICATION	open	Linux establishes the bound translation but contains no CPU payload invalidation after GPU completion.	The observed completed GPU producer fence precedes the CPU cache action and consumer digest while the same BO remains bound.	No Linux fence or mb result may close this row.	not-run	peer-open	steinmarder-r300	dfd54caf26cc94f157cd231e0741cc16887ec595	src/re/r300/corpora/rs482_k8_memory_path_frontier_v1/frontier.jsonl	GPU_GTT_CPU_INVALIDATION	An admitted exact target GPU write and CPU read trial retains raw PTE bytes and decoded bits, raw global snoop control, BO and cache mapping, module and target identity, command stream, an observed completed fence, maintenance on and off arms, and both digests; it closes exact state visibility only. Maintenance off failing while maintenance on passes supports maintenance-required visibility only for the exact retained state. Both arms passing supports only that no maintenance effect was observed in the tested trials. Both arms failing leaves visibility open.	GPU produced zero copy BO reuse stays blocked.	A directional visibility result does not prove snoop attribution or general cache coherence.
RS400_TLB_FLUSH_COMPLETION	linux-radeon-gororoba	drivers/gpu/drm/radeon/rs400.c	rs400_gart_tlb_flush	CHIP_RS400;CHIP_RS480	GART_BIND_PTE_MB_TLB_PUBLICATION;GART_UNBIND_PTE_MB_TLB_PUBLICATION	open	The callback issues invalidation and polls for a bounded interval, but its void signature discards timeout disposition.	The callback follows mb and ready publication follows its return during enable.	No caller can distinguish observed completion from timeout.	not-run	unproved	NONE	NONE	NONE	NONE	A source result channel plus calibrated timeout path is required before closing completion.	Mesa cannot treat the callback return as observed invalidation.	A returned void call does not prove TLB invalidation completed.
GART_SUSPEND_READY_STATE	linux-radeon-gororoba	drivers/gpu/drm/radeon/rs400.c	rs400_suspend;rs400_gart_disable	CHIP_RS400;CHIP_RS480	RS400_ASIC_GART_CALLBACK_SELECTION	open	Suspend disables the hardware GART without clearing gart.ready, so one Boolean represents both allocated and hardware enabled states.	Suspend runs after fence quiescence in the intended device lifecycle, but the local state does not encode that proof.	Bind and unbind have no explicit suspended state refusal.	not-run	unproved	NONE	NONE	NONE	NONE	Separate allocated and enabled state or prove a complete quiescence invariant before closure.	No Mesa fast path may rely on ready during suspend.	gart.ready true does not always prove hardware translation is enabled.
GART_BACKEND_NOT_READY_UNBIND_STATE	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_ttm.c	radeon_ttm_backend_unbind	all internal Radeon GART devices	GART_COMMON_TEARDOWN	open	The void common unbind can return for not ready while the backend has no result channel that distinguishes global teardown from a live mismatch.	The backend currently clears bound after the call and releases userptr ownership only after the call.	One state transition cannot express both already globally unbound and still hardware referenced outcomes.	not-run	unproved	NONE	NONE	NONE	NONE	A result and state contract or consolidated teardown owner distinguishes every disposition.	Mesa object teardown remains dependent on driver global lifecycle ordering.	The source does not prove bound changes only after hardware and shadow disposition.
GART_TTM_TEARDOWN_OWNERSHIP	linux-radeon-gororoba	drivers/gpu/drm/radeon/rs400.c	rs400_fini;radeon_ttm_fini	CHIP_RS400;CHIP_RS480	GART_COMMON_TEARDOWN;RS4XX_GART_TABLE_WB_RESTORE_ATTEMPT;GART_BACKEND_NOT_READY_UNBIND_STATE	open	RS400 finalization invokes common GART finalization before hardware disable and table release, while TTM finalization invokes common GART finalization again.	GEM finalization, common GART finalization, hardware disable, table release with its WB attempt, BO finalization, and TTM finalization span two owners.	Idempotent common cleanup prevents a direct double free but does not prove every backend callback disposition.	not-run	unproved	NONE	NONE	NONE	NONE	One owner or an executable ordering invariant must account for every object and callback.	Mesa device loss handling cannot infer object cleanup detail.	A second idempotent call does not prove complete callback ordering.
