mechanism	edge_kind	path	function	branch	source_anchor	target	expected	evidence_scope
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	page-flip-parked	page_flips_drained\s*=\s*radeon_page_flip_quiesce\s*\(\s*rdev\s*\)\s*;\s*if\s*\(\s*READ_ONCE\s*\(\s*rdev->gpu_parked\s*\)\s*\)\s*\{.*?radeon_rs4xx_publish_parked_state\s*\(\s*rdev\s*\)\s*;.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	suspend-parked	radeon_suspend\s*\(\s*rdev\s*\)\s*;\s*if\s*\(\s*rs4xx_reset\s*&&\s*READ_ONCE\s*\(\s*rdev->gpu_parked\s*\)\s*\)\s*\{.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	gpu-parked	if\s*\(\s*gpu_parked\s*\)\s*\{\s*radeon_rs4xx_publish_parked_state\s*\(\s*rdev\s*\)\s*.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	pm-parked	radeon_pm_resume\s*\(\s*rdev\s*\)\s*;\s*\}\s*if\s*\(\s*rs4xx_reset\s*&&\s*READ_ONCE\s*\(\s*rdev->gpu_parked\)\s*\)\s*\{.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	hpd-parked	radeon_hpd_init\s*\(\s*rdev\s*\)\s*;\s*if\s*\(\s*rs4xx_reset\s*&&\s*READ_ONCE\s*\(\s*rdev->gpu_parked\)\s*\)\s*\{.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	reset-running	WRITE_ONCE\s*\(\s*rdev->needs_reset\s*,\s*r\s*==\s*-EAGAIN\s*\)\s*;.*?if\s*\(\s*rs4xx_reset\s*\)\s*\{\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_RUNNING	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	parked-after-downgrade	rs4xx_reset_parked_after_downgrade\s*:\s*if\s*\(\s*!r\s*\)\s*r\s*=\s*-EIO\s*;\s*radeon_rs4xx_publish_parked_state\s*\(\s*rdev\s*\)\s*;.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/rs400.c	rs400_init	reset-failure	r\s*=\s*radeon_asic_reset\s*\(\s*rdev\s*\)\s*;\s*if\s*\(\s*r\s*\)\s*\{\s*radeon_rs4xx_latch_parked_state\s*\(\s*rdev\s*\)\s*;.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/rs400.c	rs400_init	reset-success	r\s*=\s*radeon_asic_reset\s*\(\s*rdev\s*\)\s*;\s*if\s*\(\s*r\s*\)\s*\{.*?return\s*r\s*;\s*\}\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_RUNNING	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	no-mmio	if\s*\(\s*rdev->rmmio\s*==\s*NULL\s*\)\s*\{\s*if\s*\(\s*rs4xx_transition\s*\)\s*\{\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_SHUTDOWN	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	normal	if\s*\(\s*rs4xx_transition\s*\)\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_SHUTDOWN	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_kms.c	radeon_rs4xx_finish_terminal_shutdown	helper	rdev->rs4xx_terminal_retained\s*=\s*true\s*;\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_SHUTDOWN	source-static
parked_latch_call	route	drivers/gpu/drm/radeon/radeon_device.c	radeon_rs4xx_latch_teardown_refusal	wrapper	radeon_rs4xx_latch_parked_state\s*\(\s*rdev\s*\)	radeon_rs4xx_latch_parked_state	NONE	source-static
parked_latch_call	route	drivers/gpu/drm/radeon/radeon_device.c	radeon_rs4xx_publish_parked_state	full-publisher	radeon_rs4xx_latch_parked_state\s*\(\s*rdev\s*\)	radeon_rs4xx_latch_parked_state	NONE	source-static
parked_latch_call	route	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	ring-restore-failure	r\s*=\s*restore_result\s*;\s*radeon_rs4xx_latch_parked_state\s*\(\s*rdev\s*\)	radeon_rs4xx_latch_parked_state	NONE	source-static
parked_latch_call	route	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c	rs480_cp_me_ram_inject_one	cp-me-restore-mismatch	radeon_rs4xx_latch_parked_state\s*\(\s*rdev\s*\)\s*;\s*return\s+-EIO	radeon_rs4xx_latch_parked_state	NONE	source-static
parked_latch_call	route	drivers/gpu/drm/radeon/rs400.c	rs400_init	reset-failure-routed	r\s*=\s*radeon_asic_reset\s*\(\s*rdev\s*\)\s*;\s*if\s*\(\s*r\s*\)\s*\{\s*radeon_rs4xx_latch_parked_state\s*\(\s*rdev\s*\)	radeon_rs4xx_latch_parked_state	NONE	source-static
parked_publisher_call	route	drivers/gpu/drm/radeon/radeon_ib.c	radeon_ib_ring_tests	rs4xx-ring-test-failure	if\s*\(\s*radeon_rs4xx_hardware_target\s*\(\s*rdev\s*\)\s*\)\s*\{.*?radeon_rs4xx_publish_parked_state\s*\(\s*rdev\s*\)	radeon_rs4xx_publish_parked_state	NONE	source-static
terminal_shutdown_route	route	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	parked-prior	if\s*\(\s*prior_state\s*==\s*RADEON_RS4XX_HARDWARE_PARKED\s*\|\|\s*READ_ONCE\s*\(\s*rdev->gpu_parked\s*\)\s*\)\s*\{\s*radeon_rs4xx_finish_terminal_shutdown	radeon_rs4xx_finish_terminal_shutdown	NONE	source-static
terminal_shutdown_route	route	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	suspended-prior	if\s*\(\s*prior_state\s*==\s*RADEON_RS4XX_HARDWARE_SUSPENDED\s*\)\s*\{\s*radeon_rs4xx_finish_terminal_shutdown	radeon_rs4xx_finish_terminal_shutdown	NONE	source-static
terminal_shutdown_route	route	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	other-prior	if\s*\(\s*prior_state\s*!\s*=\s*RADEON_RS4XX_HARDWARE_RUNNING\s*\)\s*\{.*?radeon_rs4xx_finish_terminal_shutdown	radeon_rs4xx_finish_terminal_shutdown	NONE	source-static
terminal_shutdown_route	route	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	modeset-failure	r\s*=\s*radeon_modeset_fini\s*\(\s*rdev\s*\)\s*;\s*if\s*\(\s*r\s*&&\s*rs4xx_transition\s*\)\s*\{.*?radeon_rs4xx_finish_terminal_shutdown	radeon_rs4xx_finish_terminal_shutdown	NONE	source-static
terminal_shutdown_route	route	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	open-files	radeon_rs4xx_hardware_target\s*\(\s*rdev\s*\).*?atomic_read\s*\(\s*&dev->open_count\s*\)\s*!=\s*0\s*\)\s*\{\s*radeon_rs4xx_finish_terminal_shutdown	radeon_rs4xx_finish_terminal_shutdown	NONE	source-static
terminal_shutdown_route	route	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	device-fini-failure	r\s*=\s*radeon_device_fini\s*\(\s*rdev\s*\)\s*;\s*if\s*\(\s*r\s*&&\s*rs4xx_transition\s*\)\s*\{\s*radeon_rs4xx_finish_terminal_shutdown	radeon_rs4xx_finish_terminal_shutdown	NONE	source-static
